,testado
50,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', '####', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', 'MATERIALES', 'DE', 'CURACION', 'del', '####', '####', 'DEL', '####', '####', 'en', 'el', 'periodo', 'OCTUBRE', '-', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'de', 'los', 'materiales', 'de', 'curación', ' ', 'Número', 'de', 'piezas', 'compradas', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'material', 'de', 'curación', ' ', 'Tipo', 'de', '####', ' ', '####', 'de', 'Licitación', 'ó', '####', 'Directa', 'ó', '####', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', 'que', 'realizo', 'la', 'compra', '.', ' ']"
51,"[' ', 'Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', '####', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', 'MATERIALES', 'DE', 'LABORATORIO', 'del', '####', '####', 'DEL', '####', '####', 'en', 'el', 'periodo', 'OCTUBRE', '-', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'de', 'los', 'materiales', 'de', 'laboratorio', ' ', 'Número', 'de', 'piezas', 'compradas', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'material', 'de', 'laboratorio', ' ', 'Tipo', 'de', '####', ' ', '####', 'de', 'Licitación', 'ó', '####', 'Directa', 'ó', '####', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', 'que', 'realizo', 'la', 'compra', '.']"
52,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', 'MATERIALES', 'RADIOLOGICOS', 'del', '####', '####', 'DEL', '####', '####', 'en', 'el', 'periodo', 'OCTUBRE', '-', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'de', 'los', 'materiales', 'radiológicos', ' ', 'Número', 'de', 'piezas', 'compradas', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', '####', 'que', 'vendió', 'el', 'material', 'radiológico', ' ', 'Tipo', 'de', '####', ' ', '####', 'de', 'Licitación', 'ó', '####', 'Directa', 'ó', '####', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', 'que', 'realizo', 'la', 'compra', '.']"
53,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', 'AUXILIARES', 'DE', '####', 'del', '####', 'DE', '####', 'Y', 'SERVICIOS', 'SOCIALES', 'DE', 'LOS', 'TRABAJADORES', 'DEL', '####', 'en', 'el', 'periodo', 'OCTUBRE', '-', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', '####', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'de', 'los', 'auxiliares', 'de', 'diagnostico', ' ', 'Número', 'de', 'piezas', 'compradas', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'los', 'auxiliares', 'de', 'diagnostico', ' ', 'Tipo', 'de', '####', ' ', 'Número', 'de', 'Licitación', 'ó', 'Adjudicación', 'Directa', 'ó', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', 'que', 'realizo', 'la', 'compra', '.']"
54,"['Medición', 'de', 'pobreza', 'por', 'ingresos', 'en', 'sus', 'tres', 'niveles', '(', 'alimentaria', ' ', 'capacidades', 'y', 'patrimonio', ')', 'a', 'nivel', 'municipal', 'para', '2010']"
55,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', '####', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', 'MATERIALES', 'DE', 'CURACION', 'del', '####', 'DE', '####', 'Y', 'SERVICIOS', 'SOCIALES', 'DE', 'LOS', 'TRABAJADORES', 'DEL', '####', 'en', 'el', 'periodo', 'OCTUBRE', '-', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', '####', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'de', 'los', 'materiales', 'de', 'curación', ' ', 'Número', 'de', 'piezas', 'compradas', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', '####', 'que', 'vendió', 'el', 'material', 'de', 'curación', ' ', 'Tipo', 'de', 'Compra', ' ', '####', 'de', 'Licitación', 'ó', 'Adjudicación', 'Directa', 'ó', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', 'Contrato', 'o', '####', ' ', '####', 'o', '####', '####', ' ', 'que', 'realizo', 'la', 'compra', '.']"
56,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', 'AUXILIARES', 'DE', '####', 'de', 'PETROLEOS', 'MEXICANOS', 'en', 'el', 'periodo', 'OCTUBRE', '-', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'de', 'los', 'auxiliares', 'de', 'diagnostico', ' ', 'Número', 'de', 'piezas', 'compradas', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'los', 'auxiliares', 'de', 'diagnostico', ' ', 'Tipo', 'de', '####', ' ', '####', 'de', 'Licitación', 'ó', '####', 'Directa', 'ó', '####', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', 'que', 'realizo', 'la', 'compra', '.']"
57,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', '####', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', 'MATERIALES', 'DE', 'CURACION', 'de', 'PETROLEOS', 'MEXICANOS', 'en', 'el', 'periodo', 'OCTUBRE', '-', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', '####', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'de', 'los', 'materiales', 'de', 'curación', ' ', 'Número', 'de', 'piezas', 'compradas', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', '####', 'que', 'vendió', 'el', 'material', 'de', 'curación', ' ', 'Tipo', 'de', 'Compra', ' ', '####', 'de', 'Licitación', 'ó', '####', 'Directa', 'ó', '####', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', 'que', 'realizo', 'la', 'compra', '.']"
58,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todas', 'las', 'y', '####', 'del', '####', '####', 'PARA', 'LA', '####', 'DE', 'LA', '####', 'Y', 'LA', '####', '(', '####', ')', ' ', 'en', 'el', 'periodo', 'OCTUBRE', ' ', 'NOVIEMBRE', 'Y', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', 'Básico', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', '####', ' ', 'Número', 'de', 'Licitación', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.', ' ']"
59,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', ' ', '####', '####', 'y', '####', 'del', '####', '####', 'DE', '####', 'DE', '####', 'Y', '####', '####', '(', '####', ')', 'en', 'el', 'periodo', '####', ' ', 'NOVIEMBRE', 'Y', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', 'Compra', ' ', 'Número', 'de', 'Licitación', ' ', 'Adjudicación', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', 'Número', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.', ' ']"
