,testado
30,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', 'y', '####', '####', 'del', '####', '####', 'DE', '####', '.', 'en', 'el', 'periodo', 'OCTUBRE', '-', 'DICIEMBRE', 'DEL', '2011', '.', ' ', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', '####', ' ', '####', 'de', '####', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.']"
31,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', 'y', '####', '####', 'del', '####', '####', 'DE', '####', '####', '####', 'en', 'el', 'periodo', 'OCTUBRE', 'A', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', '####', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', 'Compra', ' ', 'Número', 'de', 'Licitación', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.', ' ']"
32,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', 'y', '####', '####', 'del', '####', '####', 'DE', '####', '####', '####', 'en', 'el', 'periodo', 'OCTUBRE', 'A', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', 'Compra', ' ', 'Número', 'de', 'Licitación', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.']"
33,"[' ', 'Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', 'y', '####', '####', 'del', '####', '####', 'DE', '####', '####', '####', 'en', 'el', 'periodo', 'OCTUBRE', 'A', 'DICIEMBRE', '  ', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', 'Básico', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', '####', ' ', 'Número', 'de', '####', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.']"
34,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', 'y', '####', '####', 'del', '####', '####', '####', ' ', '20', 'DE', '####', '  ', 'en', 'el', 'periodo', 'OCTUBRE', '-', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', 'Compra', ' ', '####', 'de', '####', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.']"
35,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', 'y', '####', '####', 'del', '####', 'DE', '####', 'SOCIAL', 'PARA', 'LAS', 'FUERZAS', 'ARMADAS', 'MEXICANAS', 'en', 'el', 'periodo', 'OCTUBRE', 'A', 'DICIEMBRE', ' ', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', '####', '####', 'Básico', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', 'Compra', ' ', 'Número', 'de', '####', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.']"
36,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', 'y', '####', '####', 'del', '####', '####', 'DE', '####', 'en', 'el', 'periodo', 'OCTUBRE', 'A', 'DICIEMBRE', ' ', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', '####', ' ', '####', 'de', '####', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.']"
37,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', 'y', '####', '####', 'del', '####', '####', 'DE', '####', '####', '####', 'en', 'el', 'periodo', 'OCTUBRE', 'A', 'DICIEMBRE', 'DEL', '2011', '.', ' ', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', 'Compra', ' ', 'Número', 'de', 'Licitación', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.']"
38,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', 'y', '####', '####', 'del', '####', '####', 'DE', 'CIENCIAS', '####', 'Y', '####', '####', '####', 'en', 'el', 'periodo', 'OCTUBRE', 'A', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', '####', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', 'Compra', ' ', 'Número', 'de', 'Licitación', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.']"
39,"['Con', 'fundamento', 'en', 'lo', 'previsto', 'en', 'los', 'Artículos', '4', ' ', '7', '(', 'párrafo', 'ultimo', ')', ' ', '9', ' ', '13', ' ', '17', '18', ' ', '19', '40', '(', 'párrafo', 'ultimo', ')', '43', 'y', '63', '(', 'inciso', 'VI', ')', 'de', 'la', '####', '####', 'de', '####', 'y', 'acceso', 'a', 'la', 'información', '####', '####', ' ', 'y', 'con', 'fundamento', 'en', 'el', 'título', 'segundo', 'de', 'la', 'misma', ' ', 'donde', 'se', 'aclara', 'a', 'la', 'ciudadanía', 'las', 'responsabilidades', 'de', 'las', 'unidades', 'de', 'enlace', ' ', 'y', 'considerando', 'que', ' ', 'en', 'los', 'términos', 'del', '####', '####', ' ', 'la', 'presente', 'solicitud', 'no', 'está', 'abarcando', 'ninguna', 'información', 'confidencial', ' ', 'y', 'la', 'información', 'debe', 'de', 'entregarse', 'en', 'los', 'tiempos', 'establecidos', 'en', 'el', 'artículo', '44', ' ', 'se', 'expide', 'la', 'presente', 'solicitud', '.', 'Favor', 'de', 'indicar', 'la', '####', '####', 'de', 'todos', 'los', '####', 'y', '####', '####', 'del', '####', '####', 'DE', 'ENFERMEDADES', 'RESPIRATORIAS', 'en', 'el', 'periodo', 'OCTUBRE', 'A', 'DICIEMBRE', 'DEL', '2011', '.', 'Datos', 'requeridos', 'únicamente', ':', 'Clave', '####', 'Básico', ' ', '####', 'completa', 'y', 'clara', 'del', 'medicamento', ' ', 'Número', 'de', 'piezas', 'compradas', 'por', 'medicamento', ' ', 'Precio', 'por', 'pieza', ' ', 'Importe', ' ', 'Proveedor', 'que', 'vendió', 'el', 'medicamento', ' ', 'Tipo', 'de', '####', ' ', 'Número', 'de', '####', ' ', '####', 'Directa', ' ', 'Invitación', 'Restringida', 'según', 'corresponda', ' ', '####', 'de', '####', 'o', '####', ' ', '####', 'o', '####', '####', ' ', '(', '####', ' ', '####', 'o', '####', ')', '.']"
